label,reference_positive,predicted_positive,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
EXAMPLE:Output Template,176,132,125,105,7,51,0.7986111111111112,0.6045454545454546,0.946969696969697,0.7102272727272727,0.8116883116883117
COMMUNICATION:Automation Disclosure,72,17,16,215,1,56,0.8020833333333334,0.2919254658385093,0.9411764705882353,0.2222222222222222,0.3595505617977528
RESOURCE:Agent Resource,62,25,16,217,9,46,0.8090277777777778,0.2785571142284571,0.64,0.25806451612903225,0.367816091954023
COMMUNICATION:Expert Role,135,100,91,144,9,44,0.8159722222222222,0.6247787610619469,0.91,0.674074074074074,0.774468085106383
CONSTRAINT:Resource Budget,110,80,69,167,11,41,0.8194444444444444,0.596551724137931,0.8625,0.6272727272727273,0.7263157894736842
EXAMPLE:Worked Case,56,8,6,230,2,50,0.8194444444444444,0.1459854014598541,0.75,0.10714285714285714,0.1875
TASK:Artifact Review,72,96,60,180,36,12,0.8333333333333334,0.6000000000000001,0.625,0.8333333333333334,0.7142857142857143
COMMUNICATION:Audience Voice,58,15,13,228,2,45,0.8368055555555556,0.298070939639079,0.8666666666666667,0.22413793103448276,0.3561643835616438
PROCESS:Decision Branch,251,233,223,27,10,28,0.8680555555555556,0.5119950057968431,0.9570815450643777,0.8884462151394422,0.9214876033057852
OUTPUT:New Thread,120,88,87,167,1,33,0.8819444444444444,0.7475247524752474,0.9886363636363636,0.725,0.8365384615384616
TASK:Executable Validation,60,72,49,205,23,11,0.8819444444444444,0.6666666666666665,0.6805555555555556,0.8166666666666667,0.7424242424242424
EVALUATION:Execution Check,74,61,51,204,10,23,0.8854166666666666,0.6816293715663941,0.8360655737704918,0.6891891891891891,0.7555555555555555
SAFETY:Execution Isolation,40,23,15,240,8,25,0.8854166666666666,0.4170755642787044,0.6521739130434783,0.375,0.47619047619047616
EVALUATION:Evidence Credibility,32,3,2,255,1,30,0.8923611111111112,0.09708737864077671,0.6666666666666666,0.0625,0.11428571428571428
OUTPUT:Standalone Artifact,40,19,16,245,3,24,0.90625,0.4974146845915202,0.8421052631578947,0.4,0.5423728813559322
PROCESS:Cross-Run Memory,52,51,38,223,13,14,0.90625,0.6807881773399015,0.7450980392156863,0.7307692307692307,0.7378640776699029
RESOURCE:Development Toolchain,54,67,47,214,20,7,0.90625,0.7183833116036507,0.7014925373134329,0.8703703703703703,0.7768595041322314
PROCESS:Required Sequence,254,268,250,16,18,4,0.9236111111111112,0.5535512965050737,0.9328358208955224,0.984251968503937,0.9578544061302682
OUTPUT:Existing Thread Response,114,101,97,170,4,17,0.9270833333333334,0.8444924406047517,0.9603960396039604,0.8508771929824561,0.9023255813953488
RESOURCE:Web Retrieval,41,37,30,240,7,11,0.9375,0.7331960885229027,0.8108108108108109,0.7317073170731707,0.7692307692307693
SAFETY:Vulnerability Handling,18,2,2,270,0,16,0.9444444444444444,0.18987341772151806,1.0,0.1111111111111111,0.2
SAFETY:Prompt Injection Defense,27,15,14,260,1,13,0.9513888888888888,0.6427432216905898,0.9333333333333333,0.5185185185185185,0.6666666666666666
PROCESS:Work Delegation,26,33,23,252,10,3,0.9548611111111112,0.7549096622152399,0.696969696969697,0.8846153846153846,0.7796610169491526
SAFETY:Information Confidentiality,21,11,10,266,1,11,0.9583333333333334,0.6052090472926663,0.9090909090909091,0.47619047619047616,0.625
