label,reference_positive,predicted_positive,tp,tn,fp,fn,agreement,kappa,precision,recall,f1
RESOURCE:Web Retrieval,41,46,33,234,13,8,0.9270833333333334,0.7158428866754372,0.717391304347826,0.8048780487804879,0.7586206896551724
PROCESS:Decision Branch,251,261,246,22,15,5,0.9305555555555556,0.6495071193866376,0.9425287356321839,0.9800796812749004,0.9609375
OUTPUT:Standalone Artifact,40,41,31,238,10,9,0.9340277777777778,0.7270550678371908,0.7560975609756098,0.775,0.7654320987654321
RESOURCE:Development Toolchain,54,64,50,220,14,4,0.9375,0.8085106382978723,0.78125,0.9259259259259259,0.847457627118644
SAFETY:Vulnerability Handling,18,16,8,262,8,10,0.9375,0.4375000000000002,0.5,0.4444444444444444,0.47058823529411764
TASK:Artifact Change,96,95,88,185,7,8,0.9479166666666666,0.8825065274151436,0.9263157894736842,0.9166666666666666,0.9214659685863874
OUTPUT:Repository Change,86,93,83,192,10,3,0.9548611111111112,0.8947013162335472,0.8924731182795699,0.9651162790697675,0.9273743016759777
SAFETY:Information Confidentiality,21,15,12,264,3,9,0.9583333333333334,0.6451016635859521,0.8,0.5714285714285714,0.6666666666666666
OUTPUT:Existing Thread Response,114,109,106,171,3,8,0.9618055555555556,0.9195367266077416,0.9724770642201835,0.9298245614035088,0.9506726457399103
OUTPUT:New Thread,120,110,110,168,0,10,0.9652777777777778,0.927710843373494,1.0,0.9166666666666666,0.9565217391304348
PROCESS:Work Delegation,26,28,23,257,5,3,0.9722222222222222,0.836549375709421,0.8214285714285714,0.8846153846153846,0.8518518518518519
SAFETY:Prompt Injection Defense,27,30,25,256,5,2,0.9756944444444444,0.8637469586374694,0.8333333333333334,0.9259259259259259,0.8771929824561403
